con_uncon,log_diversity,root_biomass
uncon,0,471.72
uncon,1.4150374992788457,184.425
uncon,0,489.345
uncon,1,399.18
uncon,3.256339753259786,984.425
uncon,0,184.015
uncon,2.807354922057604,1184.425
uncon,0.6374299206152959,1193.855
uncon,0.6374299206152959,621.72
uncon,0,142.62
uncon,0,308.2
uncon,1.6374299206152911,481.965
uncon,1.2895066171949825,407.79
uncon,0,579.915
uncon,3.473931188332411,1060.245
uncon,0,548.77
uncon,0,306.15
uncon,3.384663850235319,1184.425
uncon,0,557.79
uncon,1.0780025120012722,548.77
uncon,3.169925001442312,957.785
uncon,3,1163.935
uncon,0.15200309344504861,779.095
uncon,1,609.02
uncon,3.187627003175771,1313.115
uncon,1,387.295
uncon,2,536.89
uncon,1.584962500721156,622.95
uncon,1,997.54
uncon,2.415037499278843,1282.375
uncon,1.9593580155026546,692.625
uncon,0.2895066171949824,573.77
uncon,1.584962500721156,1014.345
uncon,3.2394659346953887,1495.08
uncon,0,154.51
uncon,1.9175378398080278,1467.215
uncon,1.6374299206152911,558.195
uncon,0.15200309344504861,470.9
uncon,2.289506617194985,829.095
uncon,3.205114429904612,1398.77
uncon,0,427.46
uncon,0,302.045
uncon,3.205114429904612,2093.445
uncon,0,506.56
uncon,0.8300749985576894,1231.555
uncon,0,293.85
uncon,2.384663850235324,1248.775
uncon,2.289506617194985,738.525
uncon,3.078002512001272,1660.655
uncon,3.187627003175771,930.325
uncon,0,394.26
uncon,1.6374299206152911,954.92
uncon,1.7369655941662048,586.065
uncon,1.5305147166987805,475
uncon,0.8300749985576894,548.36
uncon,1.584962500721156,630.74
uncon,0,1024.59
uncon,0,306.555
uncon,2.078002512001272,817.215
uncon,1.1520030934450487,976.64
uncon,0,568.445
uncon,3.205114429904612,1091.805
uncon,0,1112.295
uncon,1.6880559936852588,594.67
uncon,1.2223924213364459,731.965
uncon,0,296.72
uncon,2,1118.03
uncon,0.41503749927884015,965.985
uncon,3.019899557437705,1024.18
uncon,0,140.575
uncon,3.187627003175771,1143.85
uncon,0,306.145
uncon,3.019899557437705,1784.425
uncon,0.6374299206152959,709.43
uncon,0,327.865
uncon,1,575.41
uncon,3.1154772174199366,1762.295
uncon,1.6374299206152911,418.035
uncon,0.6374299206152959,767.62
uncon,3.1154772174199366,1546.31
uncon,1,1259.02
uncon,1.584962500721156,449.18
uncon,2.5305147166987805,1479.1
uncon,2.502500340529184,1302.87
uncon,3.1154772174199366,1636.065
uncon,1,461.885
uncon,1,1177.455
uncon,0.5849625007211562,737.295
uncon,1,889.345
uncon,1,865.16
uncon,3.2394659346953887,1189.345
uncon,2.637429920615291,1189.345
uncon,2.502500340529184,868.85
uncon,2.688055993685259,1205.735
uncon,2.415037499278843,1126.23
uncon,3.205114429904612,1463.93
uncon,1.2895066171949825,172.135
uncon,1,753.69
uncon,0,1161.885
uncon,3.09686153925259,1087.705
uncon,1.4739311883324135,654.915
uncon,0,513.935
uncon,2.1876270031757725,1439.34
uncon,1,528.69
uncon,0.41503749927884015,699.18
uncon,3.289506617194985,1711.065
uncon,1,1112.295
uncon,0,186.475
uncon,3.205114429904612,1353.69
uncon,3.15200309344505,1236.475
uncon,3.187627003175771,1200.41
uncon,3.3378696387563824,1350.82
uncon,1,1269.265
uncon,0,539.345
uncon,1.8300749985576894,1293.445
uncon,0,1036.885
uncon,0,229.51
uncon,3.3378696387563824,1466.805
uncon,0,381.555
uncon,0,553.69
uncon,0,192.625
uncon,2.3536369546147,687.705
uncon,1.9593580155026546,700
uncon,1.4150374992788457,690.165
uncon,0,276.23
uncon,2.384663850235324,1543.445
uncon,2.1876270031757725,1784.425
uncon,3.2223924213364477,1492.215
uncon,1,978.28
uncon,3.384663850235319,1240.165
uncon,1.4150374992788457,638.935
uncon,2.256339753259786,525.82
uncon,0.2895066171949824,235.245
uncon,2.039528364186637,822.54
uncon,0,199.18
uncon,1,608.195
uncon,2.256339753259786,848.36
uncon,3.321928094887362,1197.95
uncon,0.32192809488736235,181.56
uncon,1.2895066171949825,754.505
uncon,3.3378696387563824,1042.62
uncon,3.205114429904612,1125
uncon,1,384.015
uncon,3.2730184944064162,1219.67
uncon,0,454.1
uncon,0.15200309344504861,314.755
uncon,3.3536369546146974,1060.66
uncon,0,789.343333333333
uncon,3.2730184944064162,1398.365
uncon,1,611.475
con,0,471.72
con,1.4150374992788457,184.425
con,1,399.18
con,3.256339753259786,984.425
con,2.807354922057604,1184.425
con,0.6374299206152959,1193.855
con,0.6374299206152959,621.72
con,0,142.62
con,0,308.2
con,1.6374299206152911,481.965
con,1.2895066171949825,407.79
con,3.473931188332411,1060.245
con,0,548.77
con,0,306.15
con,3.384663850235319,1184.425
con,1.0780025120012722,548.77
con,3.169925001442312,957.785
con,3,1163.935
con,0.15200309344504861,779.095
con,1,609.02
con,3.187627003175771,1313.115
con,1,387.295
con,2,536.89
con,1.584962500721156,622.95
con,1,997.54
con,2.415037499278843,1282.375
con,1.9593580155026546,692.625
con,0.2895066171949824,573.77
con,1.584962500721156,1014.345
con,3.2394659346953887,1495.08
con,1.9175378398080278,1467.215
con,1.6374299206152911,558.195
con,0.15200309344504861,470.9
con,2.289506617194985,829.095
con,3.205114429904612,1398.77
con,3.205114429904612,2093.445
con,0.8300749985576894,1231.555
con,0,293.85
con,2.384663850235324,1248.775
con,2.289506617194985,738.525
con,3.078002512001272,1660.655
con,3.187627003175771,930.325
con,1.6374299206152911,954.92
con,1.7369655941662048,586.065
con,1.5305147166987805,475
con,1.584962500721156,630.74
con,2.078002512001272,817.215
con,1.1520030934450487,976.64
con,3.205114429904612,1091.805
con,0,1112.295
con,1.6880559936852588,594.67
con,1.2223924213364459,731.965
con,2,1118.03
con,3.019899557437705,1024.18
con,3.187627003175771,1143.85
con,3.019899557437705,1784.425
con,3.1154772174199366,1762.295
con,1.6374299206152911,418.035
con,0.6374299206152959,767.62
con,3.1154772174199366,1546.31
con,1.584962500721156,449.18
con,2.5305147166987805,1479.1
con,2.502500340529184,1302.87
con,3.1154772174199366,1636.065
con,1,461.885
con,0.5849625007211562,737.295
con,1,889.345
con,3.2394659346953887,1189.345
con,2.637429920615291,1189.345
con,2.502500340529184,868.85
con,2.688055993685259,1205.735
con,2.415037499278843,1126.23
con,3.205114429904612,1463.93
con,1.2895066171949825,172.135
con,0,1161.885
con,3.09686153925259,1087.705
con,1.4739311883324135,654.915
con,0,513.935
con,2.1876270031757725,1439.34
con,1,528.69
con,3.289506617194985,1711.065
con,1,1112.295
con,0,186.475
con,3.205114429904612,1353.69
con,3.15200309344505,1236.475
con,3.187627003175771,1200.41
con,3.3378696387563824,1350.82
con,1,1269.265
con,1.8300749985576894,1293.445
con,3.3378696387563824,1466.805
con,2.3536369546147,687.705
con,1.9593580155026546,700
con,1.4150374992788457,690.165
con,0,276.23
con,2.384663850235324,1543.445
con,2.1876270031757725,1784.425
con,3.2223924213364477,1492.215
con,1,978.28
con,3.384663850235319,1240.165
con,1.4150374992788457,638.935
con,2.256339753259786,525.82
con,2.039528364186637,822.54
con,0,199.18
con,1,608.195
con,2.256339753259786,848.36
con,3.321928094887362,1197.95
con,0.32192809488736235,181.56
con,1.2895066171949825,754.505
con,3.3378696387563824,1042.62
con,3.205114429904612,1125
con,1,384.015
con,3.2730184944064162,1219.67
con,0.15200309344504861,314.755
con,3.3536369546146974,1060.66
con,0,789.343333333333
con,3.2730184944064162,1398.365
con,1,611.475
