Site,pH_H2O,N_percent,Humus_g,Canopy_cover,Larix_ba,Fagus_ba,Picea_ba,Quercus_ba,dens_ba_site,Tree_diversity
1,4.425,0.24,184.5033333,0.91,0.062599789,4.365460831,0.123123574,0,4.779407006,1.460823036
3,5.15,0.45,170.7528889,0.93,0,4.187627554,0.095665423,0,4.283292977,1.112934254
12,4.325,0.295,200.6085556,0.86,0.293456919,6.599430593,4.483348923,0,12.15445284,2.770422955
15,4.3,0.345,183.6422222,0.91,0.097353337,4.013714383,6.237993117,0.066384582,10.58432724,2.27118109
18,4.2,0.15,229.4767778,0.87,0.717762738,3.141829797,8.830291032,0.098256199,12.87934157,2.315672171
23,3.9,0.355,242.4566667,0.85,0,0.189995625,10.56576157,0,10.92345824,1.181517938
24,3.875,0.68,123.5347778,0.54,0.287007265,0,5.085460177,0,5.372467442,1.23182893
25,4.035,0.585,261.3885556,0.72,0.419346306,0,9.50357476,0,10.13846927,1.315477872
26,5.33,0.42,138.2322222,0.93,0.081779584,4.545985886,0,0,4.727397154,1.225562595
27,4.185,0.325,168.961,0.68,3.330317549,0,0,0,3.330317549,1
28,5.055,0.2,138.5173333,0.81,2.851410023,0.133611936,0,0.095047315,4.00893612,2.51733298
29,4.97,0.31,199.4918889,0.54,2.642520816,0,0.070215381,0.016060607,2.845214803,1.392081348
30,4.415,0.27,76.49033333,0.71,0.202330449,0,0,3.8082868,4.2788704,1.524398643
31,4.88,0.475,79.72744444,0.65,0,0,0,4.232423523,4.232423523,1
32,6.215,0.2,57.40622222,0.67,0,0,0,2.946634053,2.946634053,1
33,4.58,0.205,121.0093333,0.88,0,0,0,11.47210049,11.47210049,1
34,3.865,0.69,183.3143333,0.9,5.355534938,2.255469557,0.037173989,0,7.708351536,1.96639123
35,4.165,0.44,187.4573333,0.94,8.172804957,4.965471945,0.128333159,0.445027372,13.92415518,2.453461783
36,4.685,0.3,99.64855556,0.86,0,2.706757746,0,2.800244475,5.944232593,2.471437586
37,5.065,0.3,88.61144444,0.88,0,2.497089423,0.045996058,1.350397894,5.200497446,3.370294064
38,5.1,0.185,122.4297778,0.87,0,3.685173229,0,4.870050468,9.346946574,2.675135411
39,4.22,0.52,235.6921111,0.78,5.141687615,0.079422604,8.232622872,0,13.45373309,2.010533279
40,4.645,0.23,144.8657778,0.61,3.384353053,0.053091636,3.570459512,0.087805189,8.314305854,3.316798465
41,4.325,0.335,164.5453333,0.73,5.982522777,0.189334851,7.562069286,0,13.86257604,2.215105429
42,5.68,0.32,129.5284444,0.62,4.855816526,0,0,6.046371723,11.14949898,2.177766913
43,5.055,0.28,106.62975,0.93,2.818166748,0.040824353,0,4.649952531,7.933978364,2.401755672
44,4.895,0.405,97.92711111,0.69,4.955846703,0,0,2.310012293,7.442947432,2.060399714
45,4.315,0.51,147.9677778,0.81,0.807310652,0.118598127,2.705944103,2.75578693,6.433615759,2.995167031
46,4.13,0.45,140.5348889,0.88,0.287308032,0.421828919,2.405910549,1.152658416,4.666002579,3.939288014
47,5.11,0.37,106.486,0.84,0,0.178399607,5.023776331,1.316522468,8.888392641,3.784826322
48,4.03,0.39,222.3765556,0.93,4.045668405,3.659672697,4.810614015,0.138544236,12.74211523,3.234906419
49,4.405,0.48,163.8355556,0.87,3.994982734,6.264364809,2.694884095,0,12.95423164,2.832047646
50,4.505,0.25,186.0015556,0.77,3.113828043,4.80271291,4.700469778,0.243668995,13.23593747,3.560852562
51,5.5,0.235,150.0822222,0.96,2.023119761,2.528315098,0,2.732732113,9.044904431,5.002811228
52,5.785,0.28,123.4757778,0.9,6.767386392,3.546868861,0.011850058,3.353923163,14.08045962,3.257630205
53,5.375,0.35,186.9888889,0.9,4.242999694,4.018542323,0.244513298,3.757508175,12.48343335,3.500829709
54,4.005,0.51,168.7466667,0.88,0.214592769,3.253723164,2.163069794,3.489395235,9.120780962,3.205922883
55,5.105,0.245,141.9992222,0.88,0.146494946,2.809473072,2.402327217,3.637528722,9.051765669,3.254374203
56,4.455,0.41,127.8502222,0.91,0,4.048708164,3.865807129,3.489422747,13.30188971,4.083685951
57,4.6,0.32,127.433,0.73,3.337514089,0,4.075100889,1.306362817,9.94199014,3.799995946
58,4.75,0.2,146.42178,0.54,3.979647835,0,1.656888531,4.331137861,11.14372708,3.650995974
59,5.18,0.575,130.5104444,0.78,5.036728527,0.109498864,3.200643129,4.691755264,14.28931506,3.919640734
60,4.565,0.35,115.4424444,0.83,3.865763427,4.201417833,3.220065764,2.382626416,13.86031802,4.182879981
61,4.745,0.36,131.1496667,0.92,2.615983147,3.737099846,1.949118487,3.329624681,14.01639627,5.876727151
62,4.335,0.27,212.6116667,0.91,17.48119009,5.581388299,0.753845311,1.443711241,26.94945043,2.965364621